A	Неопределенный артикль
Step	Шаг, шагать
Following	Следующий
Thank	Благодарить
Machine	Машина
Income	Доход
Training	Тренировка
Present	Подарок, дарить, настоящий
Association	Ассоциация
Film	Фильм, пленка
Difference	Различие
Fucking	Проклятый
Region	Регион
Effort	Усилие
Player	Игрок
Everyone	Каждый
Village	Деревня
Organisation	Организация
Whatever	Что бы ни было
News	Новости
Nice	Замечательный
Modern	Современный
Cell	Ячейка, камера
Current	Текущий
Legal	Законный
Energy	Энергия
Finally	Окончательно
Degree	Степень
Mile	Миля
Means	Средство
Whom	Кем
Treatment	Лечение
Sound	Звук, звучать
Above	Над
Task	Задание
Red	Красный
Happy	Счастливый
Behaviour	Поведение
Identify	Распознавать
Resource	Ресурс, источник
Defence	Защита
Garden	Сад
Floor	Пол, этаж
Technology	Технология
Style	Стиль
Feeling	Чувство
Science	Наука
Relate	Быть родственным
Doubt	Сомнение, сомневаться
Ok	Хорошо
Produce	Производить
Horse	Лошадь
Answer	Ответ
Compare	Сравнить
Suffer	Страдать
Forward	Вперед
Announce	Объявлять
User	Пользователь
Character	Герой
Risk	Риск, рисковать
Normal	Обычный
Myself	(я) сам
Dog	Собака
Obtain	Приобретать
Quickly	Быстро
Army	Армия
Forget	Забывать
Ill	Больной
Station	Станция, участок
Glass	Стекло, стакан
Cup	Кружка
Previous	Предыдущий
Husband	Муж
Recently	Недавно
Publish	Публиковать
Serious	Серьезный
Anyway	В любом случае
Visit	Приходить в гости
Capital	Столица
Sock	Носок
Note	Заметка, отмечать
Season	Сезон, время года
Argument	Спор
Listen	Слушать
Responsibility	Ответственность
Significant	Значительный
Deal	Некоторое количество, иметь дело
Prime	Первичный
Economy	Экономика
Finish	Закончить
Duty	Долг
Fight	Бой, драка, сражаться
Train	Поезд,тренировать
Maintain	Обеспечивать
Attempt	Попытка
Leg	Нога
Save	Беречь
Suddenly	Вдруг
Brother	Брат
Improve	Улучшать
Avoid	Избегать
Teenager	Подросток
Wonder	Хотеть знать, удивление
Fun	Забава
Title	Название
Post	Почта, должность
Hotel	Гостиница
Aspect	Сторона, аспект
Increase	Увеличивать
Surname	Фамилия
Industrial	Промышленный
Express	Выражать
Summer	Лето
Determine	Определять
Generally	В общем
Daughter	Дочь
Exist	Существовать
Used to	Бывало
Share	Делить, акция
Baby	Дитя
Nearly	Около
Smile	Улыбка, улыбаться
Sorry	Извини
Sea	Море
Skill	Навык
Treat	Лечить
Remove	Удалить
Concern	Забота, заботиться
University	Университет
Left	Левый
Dead	Мертвый
Discussion	Обсуждение
Specific	Особый
Box	Ящик
Outside	Вне
Total	Всеобщий
Bit	Немного
Cost	Стоимость, стоить
Girlfriend	Подружка
Market	Рынок, купить или продать на рынке
Occur	Иметь место
Research	Исследование, исследовать
Wonderful	Чудесный
Division	Подразделение
Throw	Выбрасывать
Officer	Служащий
Procedure	Процедура
Fill	Вставлять
King	Король
Assume	Допускать
Image	Образ
Oil	Нефть, масло
Obviously	Очевидно
Unless	До тех пор пока не
Appropriate	Подходящий
Military	Военный
Proposal	Предложение
Mention	Упоминать
Client	Клиент
Sector	Сектор
Direction	Направление
Admit	Допускать
Basic	Основной
Instance	Пример
Sign	Знак, подписывать
Original	Оригинальный
Successful	Успешный
Reflect	Отражать
Aware	Осознавать
Pardon	Извините
Measure	Мера, измерять
Attitude	Отношение
Yourself	(тебя) самого
Exactly	Точно
Commission	Комиссия
Beyond	За пределами
Seat	Сидение
President	Президент
Encourage	Воодушевлять
Addition	Дополнение
Goal	Цель
Miss	Скучать
Popular	Популярный
Affair	Дело
Technique	Техника
Respect	Уважение, уважать
Drop	Капля, капать
Professional	Профессиональный, профессионал
Fly	Летать, муха
Version	Версия
Maybe	Может быть
Ability	Способность
Operate	Действовать
Goods	Товар
Campaign	Кампания
Heavy	Тяжелый
Advice	Совет
Institution	Институт
Discover	Открывать
Surface	Поверхность
Library	Библиотека
Pupil	Ученик
Refuse	Отказывать
Prevent	Предотвращать
Tasty	Вкусный
Dark	Темный
Teach	Учить (кого-либо)
Memory	Память
Culture	Культура
Blood	Кровь
Majority	Большинство
Insane	Сумасшедший
Variety	Разнообразие
Depend	Зависеть
Bill	Банкнота
Competition	Соревнование
Ready	Готовый
Access	Доступ
Hit	Ударить, толчок, нагревать
Stone	Камень
Useful	Полезный
Extent	Расширение
Employment	Занятость
Regard	Внимание, принимать во внимание
Apart	Отдельно
Besides	Кроме того
Shit	Дерьмо
Text	Текст
Parliament	Парламент
Recent	Недавний
Article	Статья
Object	Предмет, объект
Context	Контекст
Notice	Извещение, заметить
Complete	Полный, заполнить
Direct	Прямой, управлять
Immediately	Немедленно
Collection	Коллекция
Card	Карточка
Interesting	Интересный
Considerable	Значительный
Television	Телевидение
Agency	Агентство
Except	Кроме
Physical	Физический
Check	Проверять, проверка
Sun	Солнце
Possibility	Возможность
Species	Вид
Speaker	Спикер, выступающий
Second	Секунда
Laugh	Смеяться
Weight	Вес, авторитет
Responsible	Ответственный
Document	Документ
Solution	Решение
Medical	Медицинский
Hot	Горячий, жаркий
Budget	Бюджет
River	Река
Fit	Подходящий
Push	Толкать
Tomorrow	Завтра
Requirement	Требование
Cold	Холодный, простуда
Opposition	Оппозиция
Opinion	Мнение
Drug	Наркотик
Quarter	Четверть, квартал
Option	Опция, вариант
Worth	Стоящий
Define	Определять
Influence	Влияние, влиять
Occasion	Случай
Software	Программное обеспечение
Highly	Высоко
Exchange	Обмен
Lack	Отсутствие, недостаток, испытывать недостаток
Concept	Понятие, концепция
Blue	Синий
Star	Звезда, играть главную роль
Radio	Радио
Arrangement	Приведение в порядок
Examine	Проверять
Bird	Птица
Busy	Занятый, многолюдный
Chair	Кресло
Green	Зеленый
Band	(музыкальная) группа
Sex	Пол
Finger	Палец
Independent	Независимый
Equipment	Оборудование
North	Север
Message	Послание
Afternoon	Время после полудня
Fear	Страх, бояться
Drink	Пить, спиртной напиток
Fully	Полностью
Race	Раса, гонка
Strategy	Стратегия
Extra	Дополнительный
Scene	Сцена
Slightly	Слегка
Kitchen	Кухня
Arise	Подниматься
Speech	Речь
Network	Сеть
Tea	Чай
Peace	Мир
Failure	Провал
Employee	Работник
Ahead	Вперед
Scale	Шкала
Attend	Посещать
Hardly	Едва
Shoulder	Плечо
Otherwise	По-другому
Railway	Железная дорога
Supply	Запас, снабжать
Owner	Собственник
Associate	Общаться
Corner	Угол
Past	Прошлый
Match	Матч, спичка, соответствовать
Sport	Спорт
Beautiful	Красивый
Hang	Висеть
Marriage	Свадьба
Civil	Гражданский
Sentence	Предложение
Crime	Преступление
Ball	Мяч
Marry	Жениться
Wind	Ветер
Truth	Правда
Protect	Защищать
